ENSG00000005022,significant
ENSG00000006555,significant
ENSG00000010270,significant
ENSG00000011009,significant
ENSG00000013364,significant
ENSG00000013588,dubious
ENSG00000003249,significant
ENSG00000006625,nonsignificant
ENSG00000008952,significant
ENSG00000011478,dubious
ENSG00000022277,significant
ENSG00000024862,dubious
ENSG00000004864,dubious
ENSG00000005469,significant
ENSG00000008988,dubious
ENSG00000025772,dubious
ENSG00000042429,dubious
ENSG00000043514,dubious
ENSG00000002016,significant
ENSG00000003096,dubious
ENSG00000004142,significant
ENSG00000005156,dubious
ENSG00000006327,significant
ENSG00000006831,significant
ENSG00000007171,nonsignificant
ENSG00000007520,nonsignificant
ENSG00000010539,dubious
ENSG00000012124,nonsignificant
ENSG00000013583,significant
ENSG00000023892,nonsignificant
ENSG00000002834,dubious
ENSG00000005486,dubious
ENSG00000007168,dubious
ENSG00000007541,nonsignificant
ENSG00000007923,dubious
ENSG00000008130,significant
ENSG00000000419,nonsignificant
ENSG00000001084,nonsignificant
ENSG00000001497,nonsignificant
ENSG00000001631,dubious
ENSG00000003987,nonsignificant
ENSG00000004961,dubious
ENSG00000003393,nonsignificant
ENSG00000005238,dubious
ENSG00000006712,dubious
ENSG00000006715,nonsignificant
ENSG00000006757,nonsignificant
ENSG00000010803,dubious
ENSG00000001461,nonsignificant
ENSG00000004779,nonsignificant
ENSG00000004846,nonsignificant
ENSG00000006042,nonsignificant
ENSG00000006704,nonsignificant
ENSG00000006837,nonsignificant
ENSG00000000460,nonsignificant
ENSG00000000971,nonsignificant
ENSG00000001617,nonsignificant
ENSG00000001626,nonsignificant
ENSG00000002079,nonsignificant
ENSG00000002726,nonsignificant
ENSG00000000457,nonsignificant
ENSG00000001561,nonsignificant
ENSG00000001629,nonsignificant
ENSG00000002549,nonsignificant
ENSG00000004468,dubious
ENSG00000005100,dubious
ENSG00000002587,nonsignificant
ENSG00000004059,nonsignificant
ENSG00000006062,nonsignificant
ENSG00000007392,dubious
ENSG00000008394,nonsignificant
ENSG00000008869,dubious
ENSG00000001167,dubious
ENSG00000005302,dubious
ENSG00000006534,nonsignificant
ENSG00000007080,nonsignificant
ENSG00000008128,nonsignificant
ENSG00000008324,nonsignificant
ENSG00000009413,nonsignificant
ENSG00000002330,dubious
ENSG00000005339,nonsignificant
ENSG00000008382,nonsignificant
ENSG00000008405,dubious
ENSG00000009765,nonsignificant
ENSG00000009830,nonsignificant
ENSG00000002746,nonsignificant
ENSG00000004478,dubious
ENSG00000004660,nonsignificant
ENSG00000004777,nonsignificant
ENSG00000005007,nonsignificant
ENSG00000005801,nonsignificant
ENSG00000001460,dubious
ENSG00000003056,significant
ENSG00000003400,nonsignificant
ENSG00000004399,dubious
ENSG00000005020,significant
ENSG00000005175,nonsignificant
ENSG00000004139,significant
ENSG00000004766,dubious
ENSG00000005483,dubious
ENSG00000007047,nonsignificant
ENSG00000007237,significant
ENSG00000007341,significant
ENSG00000004975,nonsignificant
ENSG00000005059,dubious
ENSG00000008735,significant
ENSG00000009790,nonsignificant
ENSG00000011454,dubious
ENSG00000011523,significant
ENSG00000018699,significant
ENSG00000023330,significant
ENSG00000025796,dubious
ENSG00000031698,significant
ENSG00000051382,dubious
ENSG00000055070,significant
ENSG00000028203,dubious
ENSG00000036473,significant
ENSG00000038532,significant
ENSG00000064393,dubious
ENSG00000066185,dubious
ENSG00000067829,significant
ENSG00000044459,significant
ENSG00000048544,nonsignificant
ENSG00000054267,significant
ENSG00000064313,dubious
ENSG00000064999,dubious
ENSG00000065361,significant
ENSG00000007202,nonsignificant
ENSG00000008294,nonsignificant
ENSG00000008311,dubious
ENSG00000010017,significant
ENSG00000010438,significant
ENSG00000021574,dubious
ENSG00000025800,significant
ENSG00000028528,dubious
ENSG00000035681,nonsignificant
ENSG00000040531,significant
ENSG00000047597,dubious
ENSG00000048649,nonsignificant
