,x,,
1,ENSG00000081913,,dubious
2,ENSG00000164403,,dubious
3,ENSG00000157933,,irrelevant
4,ENSG00000166908,,irrelevant
5,ENSG00000076258,,dubious
6,ENSG00000163374,,dubious
7,ENSG00000143013,,irrelevant
8,ENSG00000029363,,irrelevant
9,ENSG00000163249,,irrelevant
10,ENSG00000115211,,irrelevant
11,ENSG00000081320,,dubious
12,ENSG00000069431,,dubious
13,ENSG00000133059,,dubious
14,ENSG00000168159,,relevant
15,ENSG00000162434,,irrelevant
16,ENSG00000148834,,dubious
17,ENSG00000101958,,irrelevant
18,ENSG00000105707,,dubious
19,ENSG00000183248,,irrelevant
20,ENSG00000185129,,dubious
21,ENSG00000107281,,irrelevant
22,ENSG00000143393,,irrelevant
23,ENSG00000157106,,dubious
24,ENSG00000158850,,irrelevant
25,ENSG00000138944,,irrelevant
26,ENSG00000126351,,irrelevant
27,ENSG00000116133,,irrelevant
28,ENSG00000062716,,dubious
29,ENSG00000188486,,dubious
30,ENSG00000110048,,irrelevant
31,ENSG00000169599,,irrelevant
32,ENSG00000141026,,irrelevant
33,ENSG00000082213,,irrelevant
34,ENSG00000179886,,dubious
